Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
1406,서울특별시 마포구 토정로3길 16 (합정동),서울특별시 마포구 합정동 367-9번지,126.9143862,37.54630621,벼레별씨,마포구,갤러리카페
1436,서울특별시 중구 퇴계로 123 10층 (충무로2가하이헤리엇),서울특별시 중구 충무로2가 65-9번지 하이헤리엇 10층 하이해리엇,126.985388,37.56107179,CGV 명동역 씨네라이브러리,중구,영화관
1437,서울특별시 노원구 동일로204가길 12 (중계동홈플러스),서울특별시 노원구 중계동 509-2번지 홈플러스,127.0684189,37.63975373,CGV 중계,노원구,영화관
1438,서울특별시 노원구 섬밭로 258 지하1층 (중계동건영옴니백화점),서울특별시 노원구 중계동 506-1번지 건영옴니백화점 지하1층,127.0643857,37.63886877,CGV 하계,노원구,영화관
1439,서울특별시 마포구 양화로 153 (동교동토로스쇼핑타워),서울특별시 마포구 동교동 159-8번지 토로스쇼핑타워 동교동,126.9226957,37.55638461,CGV 홍대,마포구,영화관
1440,서울특별시 강남구 논현로 848 (신사동),서울특별시 강남구 신사동 603-2번지,127.0287022,37.52462058,CINE de CHEF 압구정,강남구,영화관
1441,서울특별시 종로구 삼일대로 428 4층 (낙원동낙원상가),서울특별시 종로구 낙원동 236-1번지 낙원상가 4층,126.988043,37.57277398,낭만극장(실버영화관),종로구,영화관
1442,서울특별시 금천구 디지털로10길 9 (가산동현대아울렛금천점),서울특별시 금천구 가산동 60-8번지 현대아울렛금천점,126.8886021,37.477581,롯데시네마 가산디지털,금천구,영화관
1443,서울특별시 금천구 시흥대로 399 (독산동시티렉스),서울특별시 금천구 독산동 291-5번지 시티렉스,126.8974501,37.46933956,롯데시네마 독산,금천구,영화관
1444,서울특별시 송파구 올림픽로 300 (신천동),서울특별시 송파구 신천동 29번지 엔터동롯데시네마(5F11F,127.1040148,37.51419392,롯데시네마 월드타워,송파구,영화관
1445,서울특별시 중구 장충단로 72 (장충동2가한국자유총연맹),서울특별시 중구 장충동2가 201-6번지 한국자유총연맹,127.0018183,37.55197058,메가박스 EOE4(남산자동차극장),중구,영화관
1446,서울특별시 동작구 동작대로 89 12층 (사당동골든시네마타워),서울특별시 동작구 사당동 147-53번지 골든시네마타워 12층 골든시네마,126.9817312,37.48461119,메가박스 아트나인,동작구,영화관
1447,서울특별시 강서구 화곡로 142 501호 (화곡동메가박스),서울특별시 강서구 화곡동 1073-10번지 메가박스 501호 (화곡동,126.8375877,37.5407046,메가박스 화곡,강서구,영화관
1448,서울특별시 종로구 경희궁1길 1 2층 (신문로2가),서울특별시 종로구 신문로2가 1-153번지 2층,126.9718582,37.57065072,미로스페이스,종로구,영화관
1449,서울특별시 강남구 도산대로8길 8 (논현동브로드웨이),서울특별시 강남구 논현동 3-5번지 브로드웨이 브로드웨이식스3관,127.0219566,37.51647836,인디플러스,강남구,영화관
1451,서울특별시 강남구 압구정로10길 9 지하2층 (신사동),서울특별시 강남구 신사동 532-1번지 지하2층,127.0219398,37.52298959,조이앤시네마,강남구,영화관
1460,서울특별시 동대문구 답십리로 210-9 (답십리동),서울특별시 동대문구 답십리동  산 2-121번지,127.0635723,37.5718006,동대문문화의집,동대문구,문화의 집
1461,서울특별시 동대문구 외대역동로6길 3 (휘경동),서울특별시 동대문구 휘경동 135-9번지,127.0656627,37.59280653,휘경1동문화의집,동대문구,문화의 집
1462,서울특별시 은평구 백련산로 179 (응암동응암제1동주민센터),서울특별시 은평구 응암동 96-3번지 응암제1동주민센터,126.926904,37.60075892,은평문화의집,은평구,문화의 집
1463,서울특별시 은평구 갈현로 301 (갈현동갈현1동청사및문화의집),서울특별시 은평구 갈현동 436-14번지 갈현1동청사및문화의집,126.91677,37.62359387,갈현1동문화의집,은평구,문화의 집
1464,서울특별시 서대문구 백련사길 39 (홍은동서대문문화체육회관),서울특별시 서대문구 홍은동  산 26-155번지 서대문문화체육회관 서대문문화회관내,126.9317593,37.58106292,서대문문화의집,서대문구,문화의 집
1465,서울특별시 강서구 화곡로 215 (화곡동강서문화센터),서울특별시 강서구 화곡동 111-90번지 강서문화센터,126.8437882,37.5446582,화곡문화의집,강서구,문화의 집
1467,서울특별시 양천구 목동중앙본로 120 (목동목2동주민센터),서울특별시 양천구 목동 530-6번지 목2동주민센터,126.8716114,37.54616703,목2동문화의집,양천구,문화의 집
1468,서울특별시 종로구 우정국로 45-14 (수송동송암미술관),서울특별시 종로구 수송동 46-15번지 송암미술관,126.9820895,37.57306981,OCI미술관,종로구,미술관
1470,서울특별시 강서구 양천로47길 36 (가양동겸재정선미술관),서울특별시 강서구 가양동 243-1번지 겸재정선미술관,126.8382369,37.57208409,겸재정선미술관,강서구,미술관
1486,서울특별시 노원구 동일로 1238 (중계동서울시립북서울미술관),서울특별시 노원구 중계동 508번지 서울시립북서울미술관,127.0667543,37.64018994,서울시립북서울미술관,노원구,미술관
1490,서울특별시 종로구 율곡로 83 (원서동),서울특별시 종로구 원서동 219번지,126.9882914,37.57780972,아라리오뮤지엄인스페이스,종로구,미술관
1494,서울특별시 서초구 중앙로 555 (우면동우면동금속박물관),서울특별시 서초구 우면동 610-11번지 우면동금속박물관,127.0123254,37.45775477,치우금속공예관(유리지공예관?),서초구,미술관
1495,서울특별시 종로구 평창32길 8 (평창동),서울특별시 종로구 평창동 465-16번지,126.9756956,37.61221417,토탈미술관,종로구,미술관
1497,서울특별시 강남구 테헤란로 440 (대치동포스코센터),서울특별시 강남구 대치동 892번지 포스코센터,127.0556713,37.50610525,포스코미술관,강남구,미술관
1498,서울특별시 송파구 위례성대로 14 20층 (방이동한미타워),서울특별시 송파구 방이동 45번지 한미타워 20층,127.1140714,37.51664611,한미사진미술관,송파구,미술관
1499,서울특별시 성동구 살곶이길 200 (사근동한양여자대학),서울특별시 성동구 사근동 110번지 한양여자대학,127.0505172,37.55864827,한양여자대학교미술관,성동구,미술관
1500,서울특별시 서초구 남부순환로 2423 지하1층 (서초동한원빌딩),서울특별시 서초구 서초동 1449-11번지 한원빌딩 지하1층,127.0154759,37.48172551,한원미술관,서초구,미술관
1501,서울특별시 강남구 언주로 552 (역삼동),서울특별시 강남구 역삼동 688-4번지,127.0402082,37.50733036,헬로우뮤지움,강남구,미술관
1504,서울특별시 종로구 자하문로40길 63 (부암동),서울특별시 종로구 부암동 210-8번지,126.9658885,37.59412018,환기미술관,종로구,미술관
1507,서울특별시 종로구 북촌로12길 10 (가회동),서울특별시 종로구 가회동 11-7번지,126.985607,37.58182034,동림매듭박물관,종로구,박물관
1510,서울특별시 강남구 선릉로162길 45 (청담동청담불탑빌딩),서울특별시 강남구 청담동 80-7번지 청담불탑빌딩,127.0442588,37.52622808,본태박물관 서울분관,강남구,박물관
