지방청,경찰서,관서명,동,구분,주소,위도,경도
서울청,서울중부,충무,중구,파출소,서울특별시 중구  퇴계로 178,37.5608476,126.9915793
서울청,서울중부,을지로3가,중구,파출소,서울특별시 중구 충무로56-1,37.5661383,126.9928245
서울청,서울종로,종로2가,종로구,파출소,서울특별시 종로구  종로17길 4 종로2가파출소,37.5704512,126.988885
서울청,서울종로,관수,종로구,파출소,서울특별시 종로구  삼일대로 386,37.5689133,126.9880633
서울청,서울종로,세검정,종로구,파출소,서울특별시 종로구  세검정로 226 ,37.599982,126.958449
서울청,서울종로,평창,종로구,파출소,서울특별시 종로구  평창문화로 46,37.5729503,126.9793579
서울청,서울종로,삼청,종로구,파출소,서울특별시 종로구  삼청로 66,37.5813689,126.9811085
서울청,서울종로,통의,종로구,파출소,서울특별시 종로구  효자로 9,37.5767309,126.973993
서울청,서울종로,청운,종로구,파출소,서울특별시 종로구  자하문로 92-1,37.5841157,126.9705731
서울청,서울종로,옥인,종로구,파출소,서울특별시 종로구  자하문로17길 24,37.5814323,126.9694122
서울청,서울종로,교남,종로구,파출소,서울특별시 종로구  송월길 167(교북동 10-38),37.5721419,126.9612164
서울청,서울종로,세종로,중구,파출소,서울특별시 중구  세종대로 141,37.5689065,126.9764028
서울청,서울종로,신문로,종로구,파출소,서울특별시 종로구  경희궁길 6-3,37.5707164,126.972219
서울청,서울종로,사직,종로구,파출소,서울특별시 종로구  사직로9길 1,37.5760163,126.9679914
서울청,서울종로,청진,종로구,파출소,서울특별시 종로구  삼봉로 33 청진파출소,37.5725619,126.978997
서울청,서울남대문,태평로,중구,파출소,서울특별시 중구  다동길 11,37.5679725,126.9799824
서울청,서울남대문,서울역,중구,파출소,서울특별시 중구  통일로 13,37.5568528,126.9715719
서울청,서울남대문,명동,중구,파출소,서울특별시 중구  명동길 30 명동파출소,37.5635908,126.9839413
서울청,서울남대문,남대문,중구,파출소,서울특별시 중구  남대문시장4길 28-16,37.5591536,126.9762838
서울청,서울남대문,중림,중구,파출소,서울특별시 중구  중림로 36,37.5578491,126.9671034
서울청,서울남대문,회현,중구,파출소,서울특별시 중구  퇴계로6길 3-10,37.5580546,126.9788104
서울청,서울남대문,서소문,중구,파출소,서울특별시 중구  서소문로 131-1 서소문파출소,37.5628953,126.97381
서울청,서울서대문,충정로,서대문구,지구대,서울특별시 서대문구  독립문로 25-1,37.569703,126.961128
서울청,서울서대문,신촌,서대문구,지구대,서울특별시 서대문구  신촌역로 22,37.5585124,126.9429942
서울청,서울서대문,홍은,서대문구,파출소,서울특별시 서대문구 세검정로1길 112,37.5952095,126.9464058
서울청,서울서대문,연희,서대문구,파출소,서울특별시 서대문구  연희로25길 73,37.5702381,126.9328352
서울청,서울서대문,남가좌,서대문구,파출소,서울특별시 서대문구  가재울로4길 51,37.5760013,126.9240257
서울청,서울서대문,북가좌,서대문구,파출소,서울특별시 서대문구  증가로 244,37.5829532,126.9128641
서울청,서울서대문,홍제,서대문구,파출소,서울특별시 서대문구  통일로 441-1,37.5881333,126.94454
서울청,서울서대문,홍은2,서대문구,파출소,서울특별시 서대문구  연희로 298,37.5835594,126.9361809
서울청,서울혜화,혜화,종로구,파출소,서울특별시 종로구  창경궁로 279 ,37.5860682,127.0013943
서울청,서울혜화,대학로,종로구,파출소,서울특별시 종로구  이화장2길 33,37.5785746,127.0060286
서울청,서울혜화,명륜,종로구,파출소,서울특별시 종로구  성균관로 78,37.5892561,126.9975823
서울청,서울혜화,창신,종로구,파출소,서울특별시 종로구  지봉로13길 20-12,37.5787281,127.0135881
서울청,서울혜화,동묘,종로구,파출소,서울특별시 종로구  종로58가길 19 동묘파출소,37.5726459,127.0171044
서울청,서울혜화,덕산,종로구,파출소,서울특별시 종로구  창신길 98,37.5759533,127.0105115
서울청,서울혜화,종로5가,종로구,파출소,서울특별시 종로구  동호로 407,37.5706976,127.0016313
서울청,서울혜화,효제,종로구,파출소,서울특별시 종로구  종로41나길 24-6,37.5728729,127.0048535
서울청,서울용산,원효,용산구,지구대,서울특별시 용산구  백범로 329,37.5385513,126.9654268
서울청,서울용산,용중,용산구,지구대,"서울특별시 용산구  후암로16나길 17, 용중지구대",37.5491203,126.9784422
서울청,서울용산,이태원,용산구,파출소,서울특별시 용산구  이태원로 184,37.534272,126.9943892
서울청,서울용산,한남,용산구,파출소,"서울특별시 용산구  대사관로34길 53, 한남파출소",37.5310164,127.0062836
서울청,서울용산,보광,용산구,파출소,"서울특별시 용산구  보광로 25-1, 보광파출소",37.526679,127.0002185
서울청,서울용산,용산역,용산구,파출소,"서울특별시 용산구  한강대로198-2, 용산역파출소",37.5360751,126.9747042
서울청,서울용산,한강로,용산구,파출소,서울특별시 용산구  서빙고로67,37.5218624,126.9947508
서울청,서울용산,이촌,용산구,파출소,서울특별시 용산구  이촌로 219,37.5207592,126.9717021
서울청,서울성북,돈암,성북구,지구대,서울특별시 성북구  아리랑로5길 54,37.5972875,127.012384
서울청,서울성북,안암,성북구,지구대,서울특별시 성북구  지봉로21길 45,37.5867458,127.0165338
서울청,서울성북,길음,성북구,지구대,서울특별시 성북구  삼양로13길 51 길음지구대,37.6106459,127.0192236
서울청,서울성북,정릉,성북구,파출소,서울특별시 성북구  솔샘로 111,37.6160332,127.0085885
서울청,서울성북,정릉2,성북구,파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.6045307,127.0106875
서울청,서울성북,성북,성북구,파출소,서울특별시 성북구  성북로 94  성북파출소,37.5932791,126.9985215
서울청,서울동대문,답십리,동대문구,지구대,서울시 동대문구 답십리동 714(사가정로 2길 8),37.5711648,127.0507312
서울청,서울동대문,용신,동대문구,지구대,서울특별시 동대문구  청계천로549,37.5727877,127.0371701
서울청,서울동대문,청량리,동대문구,파출소,서울특별시 동대문구 약령시로21가길 8,37.5840995,127.0452886
서울청,서울동대문,제기,동대문구,파출소,서울특별시 동대문구 약령시로 17길 59-11,37.5855191,127.0420164
서울청,서울동대문,전농1,동대문구,파출소,서울특별시 동대문구 서울시립대로 56,37.576164,127.0479677
서울청,서울동대문,전농2,동대문구,파출소,서울특별시 동대문구 전농로38다길 21,37.5863347,127.0542139
서울청,서울동대문,장안1,동대문구,파출소,서울특별시 동대문구 답십리로 66길 3,37.5723087,127.0685476
서울청,서울동대문,장안2,동대문구,파출소,서울특별시 동대문구  답십리로 69길 100,37.5766821,127.0743597
서울청,서울동대문,이문,동대문구,파출소,서울특별시 동대문구  한천로 402,37.596489,127.0681013
서울청,서울동대문,휘경,동대문구,파출소,서울특별시 동대문구  한천로 266 휘경파출소,37.5898113,127.0626828
서울청,서울동대문,회기,동대문구,파출소,서울특별시 동대문구  회기로18길 2 회기파출소,37.5912574,127.0520259
서울청,서울마포,서강,마포구,지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.5473378,126.9291956
서울청,서울마포,공덕,마포구,지구대,서울특별시 마포구 마포대로 195-1,37.5548803,126.9538205
서울청,서울마포,월드컵,마포구,지구대,서울특별시 마포구  월드컵북로 30길 24,37.568674,126.9090939
서울청,서울마포,홍익,마포구,지구대,서울특별시 마포구  양화로11길 63,37.5520737,126.91491
서울청,서울마포,용강,마포구,지구대,서울특별시 마포구 토정로31길 35,37.5424468,126.9430762
서울청,서울마포,상암,마포구,파출소,서울특별시 마포구  매봉산로 76,37.5782243,126.8938226
서울청,서울마포,망원,마포구,파출소,서울특별시 마포구  망원로2길 63,37.5543039,126.9027233
서울청,서울마포,연남,마포구,파출소,서울특별시 마포구  연남로 4,37.5602909,126.9237287
서울청,서울영등포,중앙,영등포구,지구대,서울특별시 영등포구  영등포로46길 14,37.5179707,126.907501
서울청,서울영등포,여의도,영등포구,지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,37.5268082,126.9223229
서울청,서울영등포,문래,영등포구,지구대,서울특별시 영등포구  경인로 759,37.5135415,126.8976376
서울청,서울영등포,신풍,영등포구,지구대,서울특별시 영등포구 신길동 4533-16,37.4990417,126.9127745
서울청,서울영등포,신길,영등포구,지구대,서울특별시 영등포구  신길로60다길 16 ,37.5134224,126.914154
서울청,서울영등포,양평,영등포구,파출소,서울특별시 영등포구  선유로 95,37.5226791,126.8896735
서울청,서울영등포,당산,영등포구,파출소,서울특별시 영등포구  당산로 221,37.5335846,126.9012608
서울청,서울영등포,대림,영등포구,파출소,서울특별시 영등포구  대림로23길 16-1,37.4933897,126.8986904
서울청,서울영등포,대림3,영등포구,파출소,서울특별시 영등포구 대림로 197,37.4982878,126.8980224
서울청,서울영등포,영등포역,영등포구,파출소,서울특별시 영등포구 경인로102길 13,37.5154709,126.9066823
서울청,서울성동,한양,성동구,지구대,서울특별시 성동구  사근동길 5,37.5602537,127.0417604
서울청,서울성동,성수,성동구,지구대,서울특별시 성동구  광나루로2길 35 성수지구대,37.5481496,127.0551847
서울청,서울성동,서울숲,성동구,지구대,서울특별시 성동구  성덕정길 77-2,37.5380285,127.0522468
서울청,서울성동,왕십리,성동구,파출소,서울특별시 성동구  마장로 205,37.5666299,127.0326446
서울청,서울성동,행당,성동구,파출소,서울특별시 성동구  행당로 89,37.5573954,127.0288355
서울청,서울성동,옥수,성동구,파출소,서울특별시 성동구  독서당로 211,37.5468967,127.0222403
서울청,서울성동,금호,성동구,파출소,서울특별시 성동구  금호로11길 2-1,37.5547311,127.0195793
서울청,서울성동,응봉,성동구,파출소,서울특별시 성동구  독서당로 373 응봉파출소,37.5501766,127.029465
서울청,서울성동,용답,성동구,파출소,서울특별시 성동구  용답중앙길 49 용답파출소,37.5647586,127.0517402
서울청,서울동작,사당,동작구,지구대,서울특별시 동작구  동작대로9길 35,37.4805401,126.9794943
서울청,서울동작,노량진,동작구,지구대,서울특별시 동작구  등용로12나길 2,37.5111035,126.9332818
서울청,서울동작,상도,동작구,지구대,서울특별시 동작구  등용로 24 ,37.5064584,126.9358532
서울청,서울동작,남성,동작구,지구대,서울특별시 동작구 사당로17나길 4,37.484109,126.9732359
서울청,서울동작,흑석,동작구,지구대,서울특별시 동작구 노량진로 248,37.5123614,126.9536299
서울청,서울동작,신대방,동작구,지구대,서울특별시 동작구 신대방1다길 24,37.4866108,126.9059328
서울청,서울동작,대방,동작구,파출소,서울특별시 동작구 여의대방로 130,37.4985239,126.9205649
서울청,서울광진,광나루,광진구,지구대,서울특별시 광진구 아차산로 567,37.5444174,127.1033029
서울청,서울광진,화양,광진구,지구대,서울특별시 광진구  능동로17길 39 화양지구대,37.5465667,127.0713499
서울청,서울광진,중곡1,광진구,파출소,서울특별시 광진구 능동로 385,37.5636844,127.0827722
서울청,서울광진,중곡2,광진구,파출소,서울특별시 광진구  능동로 346,37.5601783,127.0814728
