명칭,좌표주소,위도,경도,상세주소,상세내용
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 16,37.4487897,126.9047897,독산로16 성광교회,관리번호: N122
주정차단속 CCTV,대한민국 서울특별시 금천구 금하로 694,37.4515704,126.9071316,금하로694,관리번호: N123
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 118,37.4577933,126.9055016,독산로118 세광어린이집,관리번호: N124
주정차단속 CCTV,대한민국 서울특별시 금천구 문성로 14-1,37.4762082,126.9052399,문성로14-1,관리번호: N125
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 335-1,37.4767561,126.9034037,독산로335-1,관리번호: N126
주정차단속 CCTV,대한민국 서울특별시 금천구 가산로 7,37.4707734,126.9019706,가산로7 예수비전교회 부근,관리번호: N127
주정차단속 CCTV,대한민국 서울특별시 금천구 범안로 1246,35.8284724,128.6552358,범안로1256 독산역길끝,관리번호: N128
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 41,37.4509954,126.905751,독산로41 은행나무길확장도로,관리번호: N129
주정차단속 CCTV,대한민국 서울특별시 금천구 은행나무로 12,37.4500189,126.9038349,은행나무로12,관리번호: N130
주정차단속 CCTV,대한민국 서울특별시 금천구 디지털로 193,37.4787914,126.888053,디지털로193,관리번호: N131
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로70길 9,37.4665624,126.9023126,독산로70길 9,관리번호: G101
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로70가길 17,37.4671168,126.9026368,독산로70가길 17,관리번호: G102
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로70길 23-7,37.4669255,126.9029889,독산로70길 23-7,관리번호: G103
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로74길 21-13,37.4690511,126.9040657,독산로74길 21-13,관리번호: G104
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로78다길 39,37.4700658,126.9059241,독산로78다길 39,관리번호: G105
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로72길 11-16,37.4684445,126.9030696,독산로72길 11-16,관리번호: G106
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로74길 20,37.4685075,126.9035502,독산로74길 20,관리번호: G107
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로78다길 22,37.469329,126.9051718,독산로78다길 22,관리번호: G108
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로78다길 53,37.470488,126.906568,독산로78다길 53,관리번호: G109
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로80길 11-21,37.4717135,126.9037544,독산로80길 11-21,관리번호: G110
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로82길 18,37.4715256,126.9047633,독산로82길 18,관리번호: G111
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로82길 8,37.4715913,126.9041756,독산로82길 8,관리번호: G112
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로82길 28,37.4714574,126.9053827,독산로82길 28,관리번호: G113
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로82길 42,37.4713566,126.906171,독산로82길 42,관리번호: G114
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로76길 10,37.4691401,126.9032606,독산로76길 10,관리번호: G115
그린파킹 CCTV,대한민국 서울특별시 금천구 범안로12길 29,37.4652069,126.8920445,범안로12길 29,관리번호: G116
그린파킹 CCTV,대한민국 서울특별시 금천구 범안로12길 21-11,37.4654767,126.8925695,범안로12길 21-11,관리번호: G117
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로38길 4,37.4438016,126.9048037,시흥대로38길 4,관리번호: G118
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로30길 19,37.4431668,126.9044569,시흥대로30길 19,관리번호: G119
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로26길 11,37.4421056,126.9045843,시흥대로26길 11,관리번호: G120
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로20길 21,37.4412812,126.9042008,시흥대로20길 21,관리번호: G121
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로18길 10,37.4401783,126.9041005,시흥대로18길 10,관리번호: G122
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로12길 13,37.4391753,126.9042767,시흥대로12길 13,관리번호: G123
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로28길 35-16,37.4430697,126.9061331,시흥대로28길 35-16,관리번호: G124
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로26길 36,37.4416623,126.9057558,시흥대로26길 36,관리번호: G125
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로22길 24,37.4407525,126.9057838,시흥대로22길 24,관리번호: G126
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로16길 30,37.439802,126.9058891,시흥대로16길 30,관리번호: G127
